time,forecastID,tempOut,rh,psea,dir,mag
1658146200,18,28.81,81.15,1007.35,S,3
1658146800,6,28.79,80.96,1007.56,S,3
1658147400,6,28.77,80.92,1007.67,S,3
1658148000,15,28.71,80.15,1007.64,S,3
1658148600,6,28.63,80.66,1007.71,S,3
1658149200,6,28.73,81.95,1007.89,S,3
1658149800,6,28.9,81.46,1007.98,S,3
1658150400,6,28.81,80.4,1008.1,S,3
1658151000,6,28.74,80.77,1008.17,S,3
1658151600,6,28.71,80.57,1008.27,S,3
1658152200,15,28.69,80.31,1008.24,S,3
1658152800,6,28.66,81.73,1008.38,S,3
1658153400,6,28.69,81.74,1008.45,S,3
1658154000,6,28.73,82.25,1008.52,S,3
1658154600,15,28.67,81.79,1008.5,S,3
1658155200,23,28.67,80.57,1008.43,S,3
1658155800,15,28.53,78.69,1008.48,S,3
1658156400,23,28.48,77.45,1008.34,S,3
1658157000,23,28.49,77.08,1008.28,S,3
1658157600,23,28.42,75.78,1008.11,S,3
1658158200,23,28.33,73.82,1008.01,S,3
1658158800,23,28.47,79.71,1007.94,S,3
1658159400,23,28.7,81.52,1007.78,S,3
1658160000,23,28.83,81.73,1007.7,S,3
1658160600,23,28.93,81.87,1007.52,S,3
1658161200,23,28.97,78.55,1007.36,S,3
1658161800,23,28.98,78.86,1007.3,S,3
1658162400,23,28.92,78.75,1007.17,S,3
1658163000,18,28.9,78.65,1007.21,S,3
1658163600,18,28.91,78.64,1007.19,S,3
1658164200,18,28.94,78.19,1007.17,S,3
1658164800,23,28.9,78.11,1007.02,S,3
1658165400,23,28.88,77.95,1007.04,S,3
1658166000,18,28.87,78.38,1007.0,S,3
1658166600,18,28.82,78.56,1007.02,S,3
1658167200,6,28.81,78.86,1007.08,S,3
1658167800,18,28.83,78.84,1007.04,S,3
1658168400,23,28.84,79.0,1006.96,S,3
1658169000,18,28.84,78.81,1006.96,S,3
1658169600,18,28.85,78.97,1006.98,S,3
1658170200,18,28.81,78.81,1006.99,S,3
1658170800,18,28.82,78.92,1007.03,S,3
1658171400,18,28.81,78.94,1007.01,S,3
1658172000,18,28.79,78.92,1007.07,S,3
1658172600,6,28.86,78.84,1007.13,S,3
